,year,duration,avg_vote,votes,metascore,reviews_from_users,reviews_from_critics,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
41219,2001,90,6.6,196580,48.0,406.0,136.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41228,2001,104,6.8,146997,51.0,877.0,183.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41232,2001,100,6.6,1171,75.0,24.0,48.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41235,2001,154,6.9,2313,79.0,50.0,66.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41238,2001,96,4.9,24630,18.0,374.0,143.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
41240,2001,102,6.9,6266,54.0,63.0,95.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41244,2001,96,6.8,136,67.0,3.0,8.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41246,2001,100,7.2,75365,64.0,508.0,176.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
41248,2001,185,6.5,1838,58.0,48.0,30.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41249,2001,99,7.8,59916,82.0,517.0,144.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
41253,2001,101,5.6,31636,39.0,243.0,110.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41256,2001,110,7.6,260939,76.0,985.0,230.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41257,2001,98,5.7,264,47.0,15.0,4.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
41258,2001,99,4.9,4167,49.0,69.0,28.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41263,2001,119,6.5,16076,70.0,162.0,163.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
41266,2001,121,7.1,5838,66.0,44.0,51.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41267,2001,97,7.1,9454,73.0,110.0,70.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41269,2001,135,6.9,617,62.0,16.0,19.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41270,2001,97,6.4,15761,72.0,192.0,112.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
41271,2001,91,5.2,193,35.0,5.0,10.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
41272,2001,88,5.5,7990,25.0,49.0,46.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41276,2001,116,7.5,102236,73.0,457.0,185.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41285,2001,90,7.3,1756,76.0,12.0,21.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
41286,2001,103,6.6,1865,64.0,26.0,36.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41287,2001,126,7.0,405,70.0,16.0,19.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
41288,2001,115,6.9,7767,65.0,45.0,63.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
41291,2001,90,6.9,102107,52.0,401.0,122.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
41300,2001,108,7.1,3135,61.0,40.0,40.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
41301,2001,107,5.1,290,50.0,11.0,6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
41304,2001,88,5.8,4529,44.0,72.0,67.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
41309,2001,103,7.1,5405,75.0,30.0,64.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41311,2001,104,6.7,4151,49.0,68.0,44.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41312,2001,87,4.7,41189,49.0,81.0,91.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
41313,2001,119,6.8,2467,69.0,20.0,48.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
41314,2001,108,6.4,6375,49.0,61.0,68.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
41315,2001,82,6.6,9253,43.0,39.0,38.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41318,2001,89,6.0,288,26.0,7.0,9.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
41325,2001,116,7.7,504464,74.0,945.0,210.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41326,2001,87,4.6,45503,13.0,681.0,87.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41332,2001,92,6.9,1534,71.0,29.0,34.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
41333,2001,113,6.3,47934,38.0,253.0,116.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
41339,2001,114,7.3,23058,77.0,212.0,140.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
41342,2001,106,6.6,4040,57.0,74.0,43.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
41344,2001,103,6.3,1281,40.0,25.0,41.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41348,2001,121,7.2,18417,84.0,206.0,54.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
41350,2001,152,7.6,625097,64.0,1754.0,268.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
41357,2001,95,5.0,12492,21.0,87.0,86.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
41359,2001,111,6.0,624,49.0,28.0,27.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
41364,2001,104,6.5,2763,54.0,35.0,28.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
41365,2001,114,6.3,7666,63.0,128.0,110.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
41368,2001,95,5.3,2360,37.0,15.0,16.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
41371,2001,136,6.9,244825,45.0,1299.0,153.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
41378,2001,90,5.9,38264,22.0,209.0,97.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
41380,2001,125,7.5,42526,45.0,359.0,99.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41393,2001,103,5.4,1110,39.0,29.0,26.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41400,2001,99,6.5,35270,45.0,88.0,57.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41401,2001,131,5.9,32547,36.0,218.0,102.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
41402,2001,87,7.9,22474,70.0,74.0,77.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
41405,2001,92,6.3,307,46.0,23.0,11.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41407,2001,91,6.7,6797,75.0,88.0,71.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
41410,2001,112,6.3,1300,75.0,21.0,34.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41417,2001,111,7.0,81502,69.0,529.0,149.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
41418,2001,100,6.4,53110,58.0,566.0,152.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
41422,2001,84,7.0,16401,72.0,102.0,70.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41428,2001,91,7.1,2966,51.0,53.0,41.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
41435,2001,98,6.8,1015,78.0,16.0,28.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
41439,2001,90,6.2,108760,49.0,1028.0,204.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
41441,2001,109,6.1,27528,66.0,215.0,70.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
41447,2001,119,6.8,1313,62.0,72.0,12.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
41448,2001,89,6.3,2215,34.0,27.0,10.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
41449,2001,81,5.3,13292,31.0,133.0,33.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41455,2001,172,7.5,6198,91.0,107.0,76.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41460,2001,104,4.0,2575,35.0,110.0,21.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41461,2001,107,6.9,4353,67.0,41.0,45.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41463,2001,93,6.8,911,48.0,2.0,22.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41464,2001,97,6.6,53402,42.0,330.0,81.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
41465,2001,124,6.8,52538,71.0,574.0,145.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
41467,2001,104,6.4,2360,42.0,44.0,24.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
41468,2001,142,7.0,61834,57.0,513.0,205.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
